Title,URL,Description,Best Rating,Worst Rating,Rating Value,Genre,Duration
The Godfather,https://www.imdb.com/title/tt0068646/,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,10,1,9.2,"Crime, Drama",PT2H55M
Oppenheimer,https://www.imdb.com/title/tt15398776/,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",10,1,8.3,"Biography, Drama, History",PT3H
In Secret,https://www.imdb.com/title/tt0409379/,Thérèse grows up with her aunt and cousin. Around 1860 the aunt decides they move to Paris and that her son and Thérèse get married. The joy- and loveless life changes when her husband brings a friend home. The affair turns ugly f...,10,1,6.1,"Crime, Drama, Thriller",PT1H47M
September 5,https://www.imdb.com/title/tt28082769/,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group.",10,1,7.1,"Drama, History, Thriller",PT1H35M
Plankton: The Movie,https://www.imdb.com/title/tt32560777/,"When Karen the Computer decides to take over the world, it&apos;s up to Plankton to stop her - with a little help from SpongeBob and the Gal Pals (Pearl, Sandy, and Mrs. Puff).",10,1,5.4,"Animation, Adventure, Comedy",PT1H27M
Better Man,https://www.imdb.com/title/tt14260836/,"The meteoric rise, dramatic fall, and remarkable resurgence of British pop superstar Robbie Williams.",10,1,7.6,"Biography, Fantasy, Music",PT2H15M
Chhaava,https://www.imdb.com/title/tt27922706/,"A historical drama based on the life of Chhatrapati Sambhaji Maharaj, the son of Chhatrapati Shivaji Maharaj.",10,1,7.8,"Action, Drama, History",PT2H41M
Blink Twice,https://www.imdb.com/title/tt14858658/,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her ...",10,1,6.5,"Mystery, Thriller",PT1H42M
The Order,https://www.imdb.com/title/tt26625693/,"A series of bank robberies and car heists frightened communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals, but rather a group of dangerous domestic te...",10,1,6.8,"Crime, Drama, Thriller",PT1H56M
Gladiator,https://www.imdb.com/title/tt0172495/,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,10,1,8.5,"Action, Adventure, Drama",PT2H35M
Sicario,https://www.imdb.com/title/tt3397884/,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,10,1,7.7,"Action, Crime, Drama",PT2H1M
It Ends with Us,https://www.imdb.com/title/tt10655524/,"When a woman&apos;s first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",10,1,6.4,"Drama, Romance",PT2H10M
Superman,https://www.imdb.com/title/tt5950044/,"Follows the titular superhero as he reconciles his heritage with his human upbringing. He is the embodiment of truth, justice and the human way in a world that views this as old-fashioned.",N/A,N/A,N/A,"Action, Adventure, Fantasy",N/A
